player_id,player_battingtype,player_name,player_role,player_intlTeam,player_bat_testrank,player_bat_Odirank,player_bat_t20rank,player_bowl_testrank,player_bowl_Odirank,player_bowl_t20rank,player_DOB,player_batting_Matches_Test,player_batting_Matches_ODI,player_batting_Matches_T20,player_batting_Matches_IPL,player_batting_Inning_Test,player_batting_Inning_ODI,player_batting_Inning_T20,player_batting_Inning_IPL,player_batting_runs_Test,player_batting_runs_ODI,player_batting_runs_T20,player_batting_runs_IPL,player_batting_Balls_Test,player_batting_Balls_ODI,player_batting_Balls_T20,player_batting_Balls_IPL,player_batting_Highest_Test,player_batting_Highest_ODI,player_batting_Highest_T20,player_batting_Highest_IPL,player_batting_Average_Test,player_batting_Average_ODI,player_batting_Average_T20,player_batting_Average_IPL,player_batting_SR_Test,player_batting_SR_ODI,player_batting_SR_T20,player_batting_SR_IPL,player_batting_NotOut_Test,player_batting_NotOut_ODI,player_batting_NotOut_T20,player_batting_NotOut_IPL,player_batting_Fours_Test,player_batting_Fours_ODI,player_batting_Fours_T20,player_batting_Fours_IPL,player_batting_Sixes_Test,player_batting_Sixes_ODI,player_batting_Sixes_T20,player_batting_Sixes_IPL,player_batting_Ducks_Test,player_batting_Ducks_ODI,player_batting_Ducks_T20,player_batting_Ducks_IPL,player_batting_50s_Test,player_batting_50s_ODI,player_batting_50s_T20,player_batting_50s_IPL,player_batting_100s_Test,player_batting_100s_ODI,player_batting_100s_T20,player_batting_100s_IPL,player_batting_200s_Test,player_batting_200s_ODI,player_batting_200s_T20,player_batting_200s_IPL,player_batting_300s_Test,player_batting_300s_ODI,player_batting_300s_T20,player_batting_300s_IPL,player_batting_400s_Test,player_batting_400s_ODI,player_batting_400s_T20,player_batting_400s_IPL,player_Bowling_Matches_Test,player_Bowling_Matches_ODI,player_Bowling_Matches_T20,player_Bowling_Matches_IPL,player_Bowling_Innings_Test,player_Bowling_Innings_ODI,player_Bowling_Innings_T20,player_Bowling_Innings_IPL,player_Bowling_Balls_Test,player_Bowling_Balls_ODI,player_Bowling_Balls_T20,player_Bowling_Balls_IPL,player_Bowling_Runs_Test,player_Bowling_Runs_ODI,player_Bowling_Runs_T20,player_Bowling_Runs_IPL,player_Bowling_Maidens_Test,player_Bowling_Maidens_ODI,player_Bowling_Maidens_T20,player_Bowling_Maidens_IPL,player_Bowling_Wickets_Test,player_Bowling_Wickets_ODI,player_Bowling_Wickets_T20,player_Bowling_Wickets_IPL,player_Bowling_Avg_Test,player_Bowling_Avg_ODI,player_Bowling_Avg_T20,player_Bowling_Avg_IPL,player_Bowling_ECO_Test,player_Bowling_ECO_ODI,player_Bowling_ECO_T20,player_Bowling_ECO_IPL,player_Bowling_SR_Test,player_Bowling_SR_ODI,player_Bowling_SR_T20,player_Bowling_SR_IPL,player_Bowling_BBI_Test,player_Bowling_BBI_ODI,player_Bowling_BBI_T20,player_Bowling_BBI_IPL,player_Bowling_BBM_Test,player_Bowling_BBM_ODI,player_Bowling_BBM_T20,player_Bowling_BBM_IPL,player_Bowling_4W_Test,player_Bowling_4W_ODI,player_Bowling_4W_T20,player_Bowling_4W_IPL,player_Bowling_5W_Test,player_Bowling_5W_ODI,player_Bowling_5W_T20,player_Bowling_5W_IPL,player_Bowling_10W_Test,player_Bowling_10W_ODI,player_Bowling_10W_T20,player_Bowling_10W_IPL
8256,Right Handed Bat,Raza-ur-Rehman,Batting Allrounder,Canada,0,0,0,0,0,0,"November 05, 1985",0,6,5,0,0,5,4,0,0,225,25,0,0,262,29,0,0,88,10,0,0,45,6.25,0,0,85.88,86.21,0,0,0,0,0,0,30,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,5,3,0,0,121,54,0,0,128,58,0,0,1,0,0,0,1,2,0,0,128,29,0,0,6.35,6.44,0,0,121,27,0,-/-,Jan-59,Feb-16,-/-,-/-,Jan-59,Feb-16,-/-,0,0,0,0,0,0,0,0,0,0,0,0
676,Right Handed Bat,Ashish Bagai,WK-Batsman,Canada,0,0,0,0,0,0,"January 26, 1982",0,62,9,0,0,60,9,0,0,1964,284,0,0,2994,249,0,0,137,67,0,0,37.77,40.57,0,0,65.6,114.06,0,0,8,2,0,0,182,27,0,0,8,0,0,0,2,0,0,0,16,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
8033,Right Handed Bat,R A Bhatti,WK-Batsman,Canada,0,0,0,0,0,0,"February 18, 1990",0,1,4,0,0,1,4,0,0,3,25,0,0,4,37,0,0,3,11,0,0,0,8.33,0,0,75,67.57,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
7675,Right Handed Bat,Hamza Tariq,WK-Batsman,Canada,0,0,0,0,0,0,"July 21, 1990",0,8,14,0,0,7,12,0,0,116,105,0,0,157,85,0,0,71,33,0,0,16.57,11.67,0,0,73.89,123.53,0,0,0,3,0,0,15,3,0,0,2,7,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
8379,Right Handed Bat,Darren Ramsammy,WK-Batsman,Canada,0,0,0,0,0,0,"June 23, 1992",0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
8027,Right Handed Bat,Zeeshan Siddiqi,WK-Batsman,Canada,0,0,0,0,0,0,"October 26, 1976",0,2,0,0,0,2,0,0,0,49,0,0,0,110,0,0,0,42,0,0,0,24.5,0,0,0,44.55,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
8100,Right Handed Bat,Manny Aulakh,Bowler,Canada,0,0,0,0,0,0,"November 17, 1991",0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,54,0,0,0,82,0,0,0,0,0,0,0,3,0,0,0,27.33,0,0,0,9.11,0,0,0,18,0,-/-,-/-,Feb-40,-/-,-/-,-/-,Feb-40,-/-,0,0,0,0,0,0,0,0,0,0,0,0
1478,Left Handed Bat,Abzal Dean,Bowler,Canada,0,0,0,0,0,0,"February 23, 1983",0,0,2,0,0,0,2,0,0,0,8,0,0,0,10,0,0,0,7,0,0,0,4,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,24,0,0,0,32,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,8,0,0,0,12,0,-/-,-/-,Feb-18,-/-,-/-,-/-,Feb-18,-/-,0,0,0,0,0,0,0,0,0,0,0,0
7674,Right Handed Bat,Parth Desai,Bowler,Canada,0,0,0,0,0,0,"December 11, 1990",0,6,1,0,0,4,0,0,0,3,0,0,0,16,0,0,0,3,0,0,0,1.5,0,0,0,18.75,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,6,1,0,0,252,18,0,0,223,30,0,0,1,0,0,0,5,0,0,0,44.6,0,0,0,5.31,10,0,0,50.4,0,0,-/-,Feb-26,0/30,-/-,-/-,Feb-26,0/30,-/-,0,0,0,0,0,0,0,0,0,0,0,0
9230,Right Handed Bat,Nikhil Dutta,Bowler,Canada,0,0,0,0,0,0,"October 13, 1994",0,1,6,0,0,0,2,0,0,0,13,0,0,0,10,0,0,0,12,0,0,0,13,0,0,0,130,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,6,0,0,36,126,0,0,31,143,0,0,0,0,0,0,0,4,0,0,0,35.75,0,0,5.17,6.81,0,0,0,31.5,0,-/-,0/31,01-Dec,-/-,-/-,0/31,01-Dec,-/-,0,0,0,0,0,0,0,0,0,0,0,0
