player_id,player_battingtype,player_name,player_role,player_intlTeam,player_bat_testrank,player_bat_Odirank,player_bat_t20rank,player_bowl_testrank,player_bowl_Odirank,player_bowl_t20rank,player_DOB,player_batting_Matches_Test,player_batting_Matches_ODI,player_batting_Matches_T20,player_batting_Matches_IPL,player_batting_Inning_Test,player_batting_Inning_ODI,player_batting_Inning_T20,player_batting_Inning_IPL,player_batting_runs_Test,player_batting_runs_ODI,player_batting_runs_T20,player_batting_runs_IPL,player_batting_Balls_Test,player_batting_Balls_ODI,player_batting_Balls_T20,player_batting_Balls_IPL,player_batting_Highest_Test,player_batting_Highest_ODI,player_batting_Highest_T20,player_batting_Highest_IPL,player_batting_Average_Test,player_batting_Average_ODI,player_batting_Average_T20,player_batting_Average_IPL,player_batting_SR_Test,player_batting_SR_ODI,player_batting_SR_T20,player_batting_SR_IPL,player_batting_NotOut_Test,player_batting_NotOut_ODI,player_batting_NotOut_T20,player_batting_NotOut_IPL,player_batting_Fours_Test,player_batting_Fours_ODI,player_batting_Fours_T20,player_batting_Fours_IPL,player_batting_Sixes_Test,player_batting_Sixes_ODI,player_batting_Sixes_T20,player_batting_Sixes_IPL,player_batting_Ducks_Test,player_batting_Ducks_ODI,player_batting_Ducks_T20,player_batting_Ducks_IPL,player_batting_50s_Test,player_batting_50s_ODI,player_batting_50s_T20,player_batting_50s_IPL,player_batting_100s_Test,player_batting_100s_ODI,player_batting_100s_T20,player_batting_100s_IPL,player_batting_200s_Test,player_batting_200s_ODI,player_batting_200s_T20,player_batting_200s_IPL,player_batting_300s_Test,player_batting_300s_ODI,player_batting_300s_T20,player_batting_300s_IPL,player_batting_400s_Test,player_batting_400s_ODI,player_batting_400s_T20,player_batting_400s_IPL,player_Bowling_Matches_Test,player_Bowling_Matches_ODI,player_Bowling_Matches_T20,player_Bowling_Matches_IPL,player_Bowling_Innings_Test,player_Bowling_Innings_ODI,player_Bowling_Innings_T20,player_Bowling_Innings_IPL,player_Bowling_Balls_Test,player_Bowling_Balls_ODI,player_Bowling_Balls_T20,player_Bowling_Balls_IPL,player_Bowling_Runs_Test,player_Bowling_Runs_ODI,player_Bowling_Runs_T20,player_Bowling_Runs_IPL,player_Bowling_Maidens_Test,player_Bowling_Maidens_ODI,player_Bowling_Maidens_T20,player_Bowling_Maidens_IPL,player_Bowling_Wickets_Test,player_Bowling_Wickets_ODI,player_Bowling_Wickets_T20,player_Bowling_Wickets_IPL,player_Bowling_Avg_Test,player_Bowling_Avg_ODI,player_Bowling_Avg_T20,player_Bowling_Avg_IPL,player_Bowling_ECO_Test,player_Bowling_ECO_ODI,player_Bowling_ECO_T20,player_Bowling_ECO_IPL,player_Bowling_SR_Test,player_Bowling_SR_ODI,player_Bowling_SR_T20,player_Bowling_SR_IPL,player_Bowling_BBI_Test,player_Bowling_BBI_ODI,player_Bowling_BBI_T20,player_Bowling_BBI_IPL,player_Bowling_BBM_Test,player_Bowling_BBM_ODI,player_Bowling_BBM_T20,player_Bowling_BBM_IPL,player_Bowling_4W_Test,player_Bowling_4W_ODI,player_Bowling_4W_T20,player_Bowling_4W_IPL,player_Bowling_5W_Test,player_Bowling_5W_ODI,player_Bowling_5W_T20,player_Bowling_5W_IPL,player_Bowling_10W_Test,player_Bowling_10W_ODI,player_Bowling_10W_T20,player_Bowling_10W_IPL
10455,Left Handed Bat,Vaibhav Wategaonkar,Batsman,Oman,0,0,0,0,0,0,"August 30, 1982",0,0,2,0,0,0,1,0,0,0,14,0,0,0,14,0,0,0,14,0,0,0,14,0,0,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
10456,Right Handed Bat,Zeeshan Siddiqui,Batsman,Oman,0,0,0,0,0,0,"July 22, 1979",0,0,5,0,0,0,5,0,0,0,60,0,0,0,63,0,0,0,33,0,0,0,15,0,0,0,95.24,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
10452,Right Handed Bat,Amir Ali,Batting Allrounder,Oman,0,0,0,0,0,0,"November 24, 1978",0,0,9,0,0,0,8,0,0,0,97,0,0,0,65,0,0,0,32,0,0,0,19.4,0,0,0,149.23,0,0,0,3,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,54,0,0,0,67,0,0,0,0,0,0,0,1,0,0,0,67,0,0,0,7.44,0,0,0,54,0,-/-,-/-,01-Jun,-/-,-/-,-/-,01-Jun,-/-,0,0,0,0,0,0,0,0,0,0,0,0
10467,Right Handed Bat,Khawar Ali,Batting Allrounder,Oman,0,0,0,0,0,80,"December 20, 1985",0,30,40,0,0,26,35,0,0,581,626,0,0,978,635,0,0,79,72,0,0,29.05,19.56,0,0,59.41,98.58,0,0,6,3,0,0,53,67,0,0,5,15,0,0,1,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0,0,30,39,0,0,1375,722,0,0,1082,795,0,0,5,0,0,0,35,46,0,0,30.91,17.28,0,0,4.72,6.61,0,0,39.29,15.7,0,-/-,May-15,04-Nov,-/-,-/-,May-15,04-Nov,-/-,0,1,3,0,0,1,0,0,0,0,0,0
10464,Right Handed Bat,Mehran Khan,Bowling Allrounder,Oman,0,0,0,0,0,0,"April 13, 1987",0,0,18,0,0,0,13,0,0,0,118,0,0,0,106,0,0,0,29,0,0,0,10.73,0,0,0,111.32,0,0,0,2,0,0,0,7,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,11,0,0,0,186,0,0,0,222,0,0,0,0,0,0,0,9,0,0,0,24.67,0,0,0,7.16,0,0,0,20.67,0,-/-,-/-,Mar-18,-/-,-/-,-/-,Mar-18,-/-,0,0,0,0,0,0,0,0,0,0,0,0
11833,Right Handed Bat,Twinkal Bhandari,WK-Batsman,Oman,0,0,0,0,0,0,"October 16, 1987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,0,0,0,0,0,0,0,0,0,0,0,0
10458,Left Handed Bat,Ajay Lalcheta,Bowler,Oman,0,0,0,0,0,0,"October 22, 1983",0,2,16,0,0,2,10,0,0,18,101,0,0,47,82,0,0,12,20,0,0,9,12.62,0,0,38.3,123.17,0,0,0,2,0,0,1,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,2,15,0,0,84,309,0,0,62,374,0,0,2,3,0,0,2,8,0,0,31,46.75,0,0,4.43,7.26,0,0,42,38.62,0,-/-,Feb-35,Jan-13,-/-,-/-,Feb-35,Jan-13,-/-,0,0,0,0,0,0,0,0,0,0,0,0
10466,Left Handed Bat,Zeeshan Maqsood,Bowler,Oman,0,88,58,0,71,0,"October 24, 1987",0,31,40,0,0,30,34,0,0,782,770,0,0,1130,691,0,0,109,76,0,0,28.96,27.5,0,0,69.2,111.43,0,0,3,6,0,0,59,86,0,0,18,20,0,0,1,2,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40,0,0,31,30,0,0,1463,540,0,0,1005,621,0,0,16,0,0,0,40,26,0,0,25.12,23.88,0,0,4.12,6.9,0,0,36.58,20.77,0,-/-,Apr-15,04-Jul,-/-,-/-,Apr-15,04-Jul,-/-,0,2,2,0,0,0,0,0,0,0,0,0
10461,Left Handed Bat,Sufyan Mehmood,Bowler,Oman,0,0,0,0,0,0,"October 21, 1991",0,1,4,0,0,1,2,0,0,4,19,0,0,16,41,0,0,4,13,0,0,4,19,0,0,25,46.34,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,4,0,0,8,51,0,0,8,59,0,0,0,0,0,0,0,2,0,0,0,29.5,0,0,6,6.94,0,0,0,25.5,0,-/-,0/8,Jan-20,-/-,-/-,0/8,Jan-20,-/-,0,0,0,0,0,0,0,0,0,0,0,0
10460,Left Handed Bat,Rajeshkumar Ranpura,Bowler,Oman,0,0,0,0,0,0,"July 17, 1983",0,0,2,0,0,0,2,0,0,0,5,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,62.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,36,0,0,0,32,0,0,0,0,0,0,0,3,0,0,0,10.67,0,0,0,5.33,0,0,0,12,0,-/-,-/-,Feb-17,-/-,-/-,-/-,Feb-17,-/-,0,0,0,0,0,0,0,0,0,0,0,0
